eventid_count,year,country,deaths_sum,year,Country,HappinessScore,Freedom,Health_LifeExpectancy,Economy_GDPperCapita,Trust_GovernmentCorruption,country,country_code,year,Intellecutal_Property_Indicator,country,country_code,year,military_expenses
8,2016,Kosovo,0,2016,Kosovo,5.401,0.14396,0.54,0.90145,0.06547,Kosovo,XKX,2016,2629407.623,Kosovo,XKX,2016,0
2,2016,Kuwait,1,2016,Kuwait,6.239,0.43166,0.63569,1.61714,0.23669,Kuwait,KWT,2016,NULL,Kuwait,KWT,2016,10.9934540940128
41,2016,Lebanon,25,2016,Lebanon,5.129,0.26228,0.76171,1.12268,0.030610000000000002,Lebanon,LBN,2016,32884145.91,Lebanon,LBN,2016,17.7648540282735
422,2016,Libya,634,2016,Libya,5.615,0.40672,0.52304,1.06688,0.10339000000000001,Libya,LBY,2016,NULL,Libya,LBY,2016,NULL
1,2016,Madagascar,3,2016,Madagascar,3.695,0.13684,0.37109,0.27954,0.07506,Madagascar,MDG,2016,8039022.437999999,Madagascar,MDG,2016,3.70864524492171
19,2016,Malaysia,6,2016,Malaysia,6.005,0.39031,0.62366,1.25142,0.09081,Malaysia,MYS,2016,1347909837,Malaysia,MYS,2016,6.0127902127068
99,2016,Mali,181,2016,Mali,4.073,0.27544,0.16347,0.31292,0.13647,Mali,MLI,2016,NULL,Mali,MLI,2016,11.6186943812645
5,2016,Mexico,4,2016,Mexico,6.778,0.37709,0.71143,1.11508,0.18355,Mexico,MEX,2016,276717753,Mexico,MEX,2016,2.2120226124077
1,2016,Moldova,0,2016,Moldova,5.897,0.25202,0.52309,0.69177,0.019030000000000002,Moldova,MDA,2016,19070000,Moldova,MDA,2016,1.21314634846435
74,2016,Myanmar,73,2016,Myanmar,4.395,0.42692,0.3988,0.34112,0.20243,Myanmar,MMR,2016,230635285.5,Myanmar,MMR,2016,16.6878263372162
43,2016,Nepal,5,2016,Nepal,4.793,0.37012,0.50073,0.44626,0.07007999999999999,Nepal,NPL,2016,NULL,Nepal,NPL,2016,6.9899848144471
6,2016,Netherlands,1,2016,Netherlands,7.339,0.55211,0.81231,1.46468,0.29927,Netherlands,NLD,2016,37620317433,Netherlands,NLD,2016,2.70051373453554
1,2016,"New Zealand",0,2016,"New Zealand",7.334,0.58147,0.83096,1.36066,0.41903999999999997,"New Zealand",NZL,2016,863661441.7,"New Zealand",NZL,2016,3.38029751471844
25,2016,Niger,190,2016,Niger,3.856,0.38041,0.26162,0.1327,0.17176,Niger,NER,2016,NULL,Niger,NER,2016,8.2983279934406
533,2016,Nigeria,2165,2016,Nigeria,4.875,0.27854,0.05108,0.75216,0.0305,Nigeria,NGA,2016,252613452.4,Nigeria,NGA,2016,4.33283080985373
864,2016,Pakistan,1113,2016,Pakistan,5.132,0.14622,0.40306,0.68816,0.1388,Pakistan,PAK,2016,221000000,Pakistan,PAK,2016,18.0322155733045
1,2016,Panama,0,2016,Panama,6.701,0.48927,0.70835,1.18306,0.08423,Panama,PAN,2016,47000000,Panama,PAN,2016,0
15,2016,Paraguay,10,2016,Paraguay,5.538,0.46235,0.58295,0.89373,0.07396,Paraguay,PRY,2016,19330000,Paraguay,PRY,2016,5.0259074021303904
3,2016,Peru,11,2016,Peru,5.743,0.37502,0.62994,0.99602,0.05292,Peru,PER,2016,323577217.7,Peru,PER,2016,6.18763113222722
632,2016,Philippines,415,2016,Philippines,5.279,0.54854,0.47036,0.81217,0.11757000000000001,Philippines,PHL,2016,546410232.4,Philippines,PHL,2016,6.26497857332743
2,2016,Poland,0,2016,Poland,5.835,0.4519,0.69058,1.24585,0.055,Poland,POL,2016,2692000000,Poland,POL,2016,4.72869221676347
1,2016,Rwanda,0,2016,Rwanda,3.515,0.5432,0.31865,0.32846,0.50521,Rwanda,RWA,2016,NULL,Rwanda,RWA,2016,4.93671702723469
124,2016,"Saudi Arabia",162,2016,"Saudi Arabia",6.379,0.37904,0.59267,1.48953,0.30008,"Saudi Arabia",SAU,2016,NULL,"Saudi Arabia",SAU,2016,25.5230791924902
1,2016,"Sierra Leone",1,2016,"Sierra Leone",4.635,0.30685,0,0.36485,0.08196,"Sierra Leone",SLE,2016,1055010.2079999999,"Sierra Leone",SLE,2016,3.42457540202611
602,2016,Somalia,1583,2016,Somalia,5.44,0.56778,0.11466,0,0.3118,Somalia,SOM,2016,NULL,Somalia,SOM,2016,NULL
27,2016,"South Africa",21,2016,"South Africa",4.459,0.42483,0.18611,1.02416,0.08415,"South Africa",ZAF,2016,1984245344,"South Africa",ZAF,2016,3.27356144725616
59,2016,"South Sudan",633,2016,"South Sudan",3.832,0.19662,0.15781,0.39394,0.13015,"South Sudan",SSD,2016,1770000,"South Sudan",SSD,2016,8.34976587316653
3,2016,Spain,0,2016,Spain,6.361,0.37545,0.87896,1.34253,0.06137000000000001,Spain,ESP,2016,4986909042,Spain,ESP,2016,2.68343539835002
1,2016,"Sri Lanka",0,2016,"Sri Lanka",4.415,0.50817,0.62007,0.97318,0.07964,"Sri Lanka",LKA,2016,NULL,"Sri Lanka",LKA,2016,10.866624419476
173,2016,Sudan,182,2016,Sudan,4.139,0,0.29759,0.63069,0.10039,Sudan,SDN,2016,NULL,Sudan,SDN,2016,24.9650215761646
